R,F,M
27,6,232.61
3,5,1507.11
4,16,817.62
3,11,232.81
14,7,1913.05
19,6,220.07
5,2,615.83
26,2,1059.66
21,9,304.82
2,21,1227.96
15,2,521.02
26,3,438.22
17,11,1744.55
30,16,1957.44
5,7,1713.79
4,21,1768.11
93,2,1016.34
16,3,950.36
4,1,754.93
27,1,294.23
5,1,195.3
17,3,1845.34
12,13,1434.29
21,3,275.85
18,5,449.76
30,21,1628.68
4,2,1795.41
7,12,1786.24
18,1,679.44
60,7,5318.81
4,22,873.68
16,1,654.69
3,2,230.37
14,11,1165.68
13,21,1276.31
10,16,334.21
5,5,759.19
1,1,1383.39
24,8,3280.77
19,4,154.65
9,1,501.38
1,24,1721.93
14,1,107.18
10,1,973.36
10,17,764.55
7,6,1251.4
23,11,923.28
15,1,1011.18
1,15,1847.61
3,21,1669.46
10,3,1758.05
30,8,1865.99
28,8,1791.44
4,15,874.6
24,5,557.17
16,2,1025.35
7,2,1261.47
66,4,2920.81
4,2,1266.02
21,11,626.37
6,4,1105.63
26,21,1465.58
8,21,630.74
26,2,1546.45
14,11,1577.91
17,6,170.16
20,5,1558.75
5,5,1272.06
26,3,111.02
15,7,1578.37
26,24,720.26
25,16,873.22
4,7,935.19
23,11,723.67
15,9,1833.01
6,3,681.26
78,11,1461.63
15,17,560.57
9,18,1761.19
8,7,1707.25
28,2,227.14
22,3,223.57
8,6,940.46
23,6,256.3
5,1,312.44
15,14,929.52
27,15,1296.66
22,11,591.62
2,2,755.72
18,17,1424.07
61,8,940.93
3,7,414.24
1,14,576.56
12,22,1037.14
26,5,1200.17
1,3,1727.36
13,16,503.71
19,7,703.36
12,17,1583.05
3,18,602.9
5,1,798.41
25,7,1202.09
85,4,1605.36
28,21,1222.34
25,19,593.17
8,6,94.75
14,1,89.7
21,15,1061.56
29,15,978.85
14,3,155.9
20,5,938.15
3,24,1477.97
10,6,1976.23
8,5,181.17
17,4,499.65
49,1,76.22
13,11,267.1
23,1,137.62
65,5,1383.47
20,22,1311.2
22,13,496.61
21,6,1921.8
14,11,304.1
26,1,468.09
27,9,432.67
30,1,368.35
11,4,759.69
26,3,1110.81
28,1,53
39,11,1314.21
11,6,1895.95
23,1,417.23
3,2,679.58
5,1,533.97
24,8,1134.64
25,6,825.39
10,6,165.39
29,9,1234.64
80,11,1829.32
23,1,89
4,2,1557.88
3,8,1328.01
15,7,304.65
17,23,1505.55
16,7,711.1
16,1,539.76
5,1,65.83
16,3,776.21
22,18,1820.61
19,4,1997
4,22,1846.69
23,7,1252.41
7,13,987.17
3,6,1130.03
18,1,148.32
28,1,135.57
6,2,1641.79
7,2,242.83
21,8,1803.02
12,12,1557.95
25,4,1494.81
26,13,1280.06
28,1,160
22,9,440.12
14,1,746.95
12,2,351.09
6,2,556.91
7,3,957.83
16,16,1212.37
11,2,946.65
16,13,1442.68
5,12,1612.7
0,21,1281.68
9,13,1928.8
24,7,335.35
3,8,1589.35
20,11,797.72
17,1,793.47
13,16,569.47
10,3,149.5
17,21,515.38
8,4,187.76
20,7,1441.83
27,1,121.61
25,11,934.58
16,15,591.06
15,4,951.31
12,11,914
3,22,1058
9,2,1111.51
17,9,458.52
27,18,927.59
73,1,1370.25
17,1,946.53
10,1,1474.41
16,3,1661.03
0,9,1465.18
17,3,1813.45
5,7,772.54
4,1,172.82
14,4,552.37
12,8,946.28
26,2,651.99
6,9,857.79
7,4,1016.55
5,6,1766.44
25,3,908.53
28,2,403.75
25,4,1270.75
13,3,1157.92
13,1,497.09
2,1,216.78
23,16,1454.58
2,17,1027.58
24,12,722.09
15,7,282.19
11,4,106.96
18,1,999.75
24,14,1139.33
24,5,836.72
3,2,1678.54
3,17,1337.34
1,4,1335.77
11,2,810.2
29,11,943.9
51,12,5135.77
6,9,984.12
6,5,1413.55
1,6,381.95
6,14,788.22
29,1,80.8
21,1,611.13
24,4,1766.35
0,2,1516.76
9,6,1925.2
17,1,344.23
49,1,204.1
5,2,1257.59
7,3,1095.09
2,1,123.76
3,2,696.82
26,2,1487.35
19,3,1278.43
28,14,627.97
12,1,95
14,4,1827.01
10,6,754.05
19,2,922.93
12,12,257.4
1,14,676.34
3,19,984.32
27,32,1914.06
13,4,1953.81
1,4,768.02
61,13,1379.86
42,1,1054.24
21,11,298.34
17,5,841.04
8,9,1757.87
22,11,1010.7
13,6,948.83
12,24,852.95
7,7,1532.72
11,6,1891.29
10,21,1900.33
16,13,598.84
8,21,1622.91
21,7,536.53
66,6,180.51
18,8,1751.33
26,1,1146.43
24,6,654.8
4,3,1599.58
14,16,1317.4
16,18,1665.03
11,17,440.21
16,3,1689.94
3,12,1163.78
11,6,664.23
10,4,1658.4
3,8,1293.56
59,14,912.94
25,2,1265.24
20,6,1169.96
25,3,735.19
5,6,1749.68
17,15,483.51
23,22,1436.67
16,2,1439.93
16,1,252.12
